abad;abad,jaman
bonus;peghassin,pengejuk,peghesen
bonyok;lutak,bubbui,lulugh
bopeng;bopeng,capuk,kaghut
bor;bogh,bugh
border;sulammesin,boghdigh
borgol;sukun,boghgol
borok;keghidas,kacau,awigh
boros;labah,ghuyal
bosan;lejju,geloh,lejeu,busen
botak;sulah,gundul
botol;gudu
brantas;pebela,basmi,beghattas
buah;buah
buai;ghaghinok,papedom,buai,ayun
bual;buhung,balakumung,gambung,memakkak-an
buang;tok,umban,emban
buas;buas
buat;nyani,guwai
buaya;buhambuho
bubar;tabogh,gubagh,tabui,guyak
budak;bedua,beduwo,budak
budaya;kebiasaan,budayo
budi;bui,suaka,aghlak,budei,peghangi,piil
bufet;bupet,bopet
bugil;gagelok,bitung,lonyong
bui;jil,bui,kughungan
buih;bughoh,bugheh,buih,boghoh
bujang;meghanai,meghanai
bujuk;gagunik,bujuk,ghayeu,ghinak
buka;bukak,bokak
bukan;lain,sumang,layon
bukit;bukit
buku;kitab,buku
bulan;kenawat,bulan
bulat;buntogh,bulat,bundegh
bulu;bulu,buleu
buluh;buluh,peghing
bumbu;hahumbu,babugha,mumbbu,bebughou,bumbbou
bumi;bumi,tanaoh,bumie,dunia
buncis;ghattak,buncis
buncit;buncit,gendut
bunda;mak,ina,induk,ibuk,indui,bunda,umi
bundar;buttogh
bunga;kumbang
bungkam;ugom,makcawa,sighep
bungkuk;bukkuk,cuemenguk
bungkus;sipok,bungkus,lulup
bungsu;saingungaha,bungsu,buntut
butiang;watsaibetik,watdilom,ngadung,meetteng
buntu;kobot,kapuk,buttu
bunting;putuk,kuntung
bunuh;patiko,patei,bunuhpatiken
bunyi;bunyi,gehasa,bangho,bunyei
buru;bedak,alau,bunheu
buruh;gegahi,upahan,kiulikulei
buruk;jahal,bunhak,jahatgabggeu
burung;memanuk,putik,bughung
busa;bughoh,busabunheh
busana;pakaian,penghabut
busuk;busuk,bunyuk,hambawan
buta;buta,buto,botou
butir;biji,butigh,bejei
butuh;peghallu,peghleu
cabai;cabi
cabang;pampang,cabang,peppang
cabik;saghak,caghik,cabik
cabul;cawaghuta,cabul,gegotoh
cabut;ambuk,cabuk,cabut
cacar;cacagh,atum
cacat;cela,kekughangan,cindok,cacat
catur;catugh
cawan;cangkegh,cumbung
cebol;budol,cidal,ketat,ipel,petot
cebok;ngisang,kecah
cebur;cambugh
cecak;kicak
cecer;tabui,cighat-caghit,kacigh
cendera;benasa,pepika,cacat,bepikou
cegah;tulak,halangi,tegah,cegah
cekatan;takkas,ghikas,geluk,gresit,pettegh,nalem,catak
cekcok;ghigu,bantah,piseu,selisih
cela;bada,cela,celou,jahal
celah;celah,lelok
celak;cilak,celak
celaka;celaka,bahaya,binaso,celakou,massou,hal,massoubalak
celana;ceclana,celanou
celetoh;ghaghibok,ngahyung,kecawok-an
celup;celup,ngughukko,cebuk,celup
cemar;kamak,curing,cacat
cemara;pulos,cemagha
cemas;gagetogh,gelisah,ghabai,ghugui,kuatigh
cembung;ghundung,mukung
